Genes/Conditions	dinI_U_N0025	dinP_U_N0025	lexA_U_N0025	lon_U_N0025	luc_U_N0025	mazF_U_N0025	recA_U_N0025	relA_U_N0025	ruvA_U_N0025	sulA_U_N0025	umuD_U_N0025	uvrA_U_N0025	yebF_U_N0075	luc_U_N0075	zipA_U_N0075	luc_U_N0000	b2618_U_N0075	bcp_U_N0075	cpxR_U_N0075	crcB_U_N0075	crp_U_N0075	cspF_U_N0075	dam_U_N0075	dnaA_U_N0075	dnaN_U_N0075	dnaT_U_N0075	emrR_U_N0075	era_U_N0075	fis_U_N0075	fklB_U_N0075	folA_U_N0075	galF_U_N0075	gcvR_U_N0075	gyrA_U_N0075	gyrI_U_N0075	hlpA_U_N0075	holD_U_N0075	hscA_U_N0075	IHF_U_N0075	ldrA_U_N0075	mcrB_U_N0075	mcrC_U_N0075	menB_U_N0075	menC_U_N0075	minD_U_N0075	minE_U_N0075	murI_U_N0075	yoeB_U_N0075	nrdA_U_N0075	nrdB_U_N0075	nupC_U_N0075	pyrC_U_N0075	rimI_U_N0075	rstB_U_N0075	ruvC_U_N0075	sbcB_U_N0075	uspA_U_N0075	WT_N0000	WT_N0025	WT_N0050	WT_N0075	recA_D_N0000	recA_D_N0050	recA_D_N0100	WT_D_N0100	luc2_U_N0025	luc2_U_N0000	T0_N0000	T12_N10000	T24_N10000	T24_N0000	T36_N10000	T48_N10000	T60_N10000	T60_N0000	ccdB_K12_t0	ccdB_K12_t30	ccdB_K12_t60	ccdB_K12_t90	ccdB_K12_t120	lacZ_K12_t0	lacZ_K12_t30	lacZ_K12_t60	lacZ_K12_t90	lacZ_K12_t120	lacZ_MG1063_t0	lacZ_MG1063_t30	lacZ_MG1063_t60	lacZ_MG1063_t90	lacZ_MG1063_120	ccdB_MG1063_t0	ccdB_MG1063_t30	ccdB_MG1063_t60	ccdB_MG1063_t90	ccdB_MG1063_t120	lacZ_W1863_t0	lacZ_W1863_t30	lacZ_W1863_t60	lacZ_W1863_t90	ccdB_W1872_t0
aaeA	7.1670732498168945	7.101113319396973	7.16556978225708	7.232143402099609	7.261929988861084	7.246896743774414	7.049703121185303	7.127320289611816	7.094089984893799	7.150516510009766	7.139130115509033	7.286433219909668	7.3737335205078125	7.288829803466797	7.119480133056641	7.400879859924316	7.399720191955566	7.466070175170898	7.35720682144165	7.316969871520996	7.396246910095215	7.296679973602295	7.345119953155518	7.3590898513793945	7.471419811248779	7.167994976043701	7.445413589477539	7.4313836097717285	7.610173225402832	7.507713317871094	7.448836803436279	7.397393226623535	7.464310169219971	7.342846870422363	7.423293113708496	7.286386489868164	7.315370082855225	7.324214935302734	7.5569000244140625	7.4341864585876465	7.539459705352783	7.527750015258789	7.503206729888916	7.432010173797607	7.283433437347412	7.269933223724365	7.567263126373291	7.249919891357422	7.239789962768555	7.455723285675049	7.591113567352295	7.44879674911499	7.45486307144165	7.329223155975342	7.366196632385254	7.360833168029785	7.200399875640869	7.22129487991333	7.564845085144043	7.311260223388672	7.494580268859863	7.442625045776367	7.561359882354736	7.272464752197266	7.279399871826172	7.150199890136719	7.194960117340088	7.510690212249756	7.154629707336426	7.023709774017334	7.216833114624023	7.393640041351318	7.682803153991699	7.156129837036133	7.00383996963501	7.132840156555176	7.222549915313721	7.16726016998291	7.11653995513916	6.914249897003174	7.067039966583252	7.334099769592285	7.102129936218262	7.440279960632324	7.082125186920166	7.1873250007629395	7.388360023498535	7.187874794006348	7.319270133972168	7.051100254058838	7.34758996963501	7.334205150604248	7.488570213317871	7.760369777679443	7.055210113525391	7.057519912719727	7.044809818267822	7.355490207672119	6.973499774932861	6.955860137939453
aaeB	7.182336807250977	7.376996994018555	7.300426483154297	7.202576637268066	7.338626861572266	7.270780086517334	7.352423191070557	7.256026744842529	7.2801432609558105	7.31821346282959	7.338893413543701	7.240340232849121	7.270033359527588	7.338696479797363	7.337783336639404	7.202509880065918	7.092426776885986	7.248783111572266	7.129026889801025	7.137233257293701	7.0291666984558105	7.222256660461426	7.132113456726074	7.2176899909973145	7.077123165130615	7.098366737365723	7.052724838256836	7.12716007232666	7.170443534851074	7.2311201095581055	7.258596420288086	7.29098653793335	7.1858601570129395	7.266393184661865	7.2376298904418945	7.233576774597168	7.13401985168457	7.206363201141357	7.178725242614746	7.297503471374512	7.12282657623291	7.046186923980713	7.41855001449585	7.3826398849487305	7.238006591796875	7.255380153656006	7.108733177185059	6.901243686676025	7.109333515167236	7.1190948486328125	7.354153156280518	7.197383403778076	7.1012864112854	7.295553207397461	7.137696743011475	7.285250186920166	7.106709957122803	7.257114887237549	7.118144989013672	7.3281097412109375	7.357970237731934	7.614175319671631	7.726785182952881	7.666355133056641	7.82411003112793	7.326580047607422	7.247650146484375	7.44516658782959	7.475066661834717	7.561130046844482	7.133353233337402	7.514989852905273	7.658160209655762	7.799076557159424	7.319940090179443	7.210760116577148	7.333600044250488	7.105730056762695	7.396719932556152	7.2253499031066895	7.263879776000977	7.280489921569824	7.671939849853516	7.589779853820801	7.608250141143799	7.173409938812256	7.158524990081787	7.252150058746338	7.171999931335449	7.237579822540283	7.08860969543457	7.292035102844238	7.460279941558838	7.559940338134766	7.772809982299805	7.324560165405273	7.162749767303467	7.200900077819824	7.346290111541748	7.079629898071289
aaeR	7.89546012878418	7.96548318862915	7.859896659851074	7.927879810333252	7.856356620788574	7.901166915893555	7.799596786499023	7.935539722442627	7.870746612548828	7.797666549682617	7.935753345489502	7.915116786956787	8.107863426208496	8.168087005615234	8.074963569641113	7.949583530426025	8.417902946472168	8.207853317260742	8.15097713470459	8.160846710205078	8.073686599731445	8.183883666992188	8.044209480285645	8.241872787475586	8.158163070678711	8.223739624023438	8.04195499420166	8.232393264770508	8.274919509887695	8.286153793334961	8.170296669006348	8.191479682922363	8.165603637695312	8.198533058166504	8.162826538085938	8.194306373596191	8.139946937561035	8.07858657836914	8.055689811706543	8.353473663330078	8.25607967376709	8.221306800842285	8.140979766845703	8.077136993408203	8.15017318725586	8.057083129882812	8.002220153808594	8.402143478393555	8.18591022491455	8.142840385437012	8.24612045288086	8.326740264892578	8.151700019836426	8.053752899169922	8.161749839782715	8.035303115844727	7.962513446807861	7.977859973907471	7.910569667816162	8.200454711914062	8.224309921264648	7.869154930114746	7.880875110626221	7.8637847900390625	7.64486026763916	7.9887003898620605	7.957670211791992	7.850886821746826	7.3693132400512695	7.319650173187256	7.666719913482666	7.330056667327881	7.388156414031982	7.55297327041626	7.680513381958008	7.648009777069092	8.112859725952148	8.106599807739258	7.976659774780273	8.128239631652832	7.732709884643555	7.7775797843933105	7.722750186920166	7.356870174407959	7.47652006149292	7.786904811859131	7.939324855804443	7.998420238494873	8.053685188293457	8.086009979248047	7.750814914703369	7.858024597167969	7.6768798828125	7.762519836425781	7.908470153808594	7.581389904022217	7.758170127868652	7.955440044403076	8.283769607543945	7.722690105438232
aaeX	6.8907365798950195	6.944739818572998	6.868780136108398	6.956446647644043	6.833796501159668	6.8503031730651855	6.9486565589904785	6.8448567390441895	6.946533203125	6.82901668548584	6.975926876068115	6.931650161743164	7.176736831665039	7.148893356323242	7.083809852600098	6.916830062866211	7.180409908294678	7.158949851989746	7.154783248901367	7.10711669921875	7.0069899559021	7.11272668838501	7.023853302001953	7.133666515350342	7.0766401290893555	7.136423110961914	6.978729724884033	7.164209842681885	7.127190113067627	7.23829984664917	7.1225266456604	7.172553539276123	7.1576433181762695	7.152786731719971	7.062536716461182	7.268213272094727	7.082730293273926	6.9451003074646	7.074310302734375	7.2276201248168945	7.132226943969727	7.103396892547607	7.284156799316406	7.090463161468506	7.19779634475708	7.124149799346924	7.070346355438232	7.099890232086182	6.997386932373047	6.916900157928467	7.123726844787598	7.191816806793213	7.184619903564453	7.233003616333008	7.127266883850098	7.084746837615967	7.136803150177002	7.400000095367432	7.190179824829102	7.4435200691223145	7.273035049438477	6.706039905548096	7.09142541885376	7.437129974365234	7.138669967651367	7.023614883422852	7.010119915008545	7.310933589935303	7.365469932556152	7.156020164489746	7.068323612213135	7.142293453216553	7.424956798553467	7.861866474151611	6.916306495666504	7.121469974517822	7.201789855957031	7.09867000579834	7.098879814147949	6.896510124206543	7.082610130310059	7.158390045166016	6.969930171966553	6.7831501960754395	7.375929832458496	7.073460102081299	6.976254940032959	7.139035224914551	6.92019510269165	7.146890163421631	7.005809783935547	6.993299961090088	7.199239730834961	7.120199680328369	7.24960994720459	7.123600006103516	6.748839855194092	6.963180065155029	6.708700180053711	6.966300010681152
aas	9.164957046508789	9.19810676574707	9.203866958618164	9.245490074157715	9.176926612854004	9.015600204467773	9.241633415222168	9.02337646484375	9.152219772338867	9.126480102539062	9.173250198364258	9.275903701782227	9.290140151977539	9.414396286010742	9.316102981567383	8.944000244140625	9.196599960327148	9.24983024597168	9.197193145751953	9.205010414123535	9.097350120544434	9.20691967010498	9.124357223510742	9.053226470947266	9.010666847229004	9.080263137817383	8.961324691772461	9.144889831542969	9.230270385742188	9.224153518676758	9.303353309631348	9.25709342956543	9.139243125915527	9.169206619262695	9.15742015838623	9.10986042022705	9.101593017578125	9.210143089294434	9.185219764709473	9.215332984924316	9.190013885498047	9.168643951416016	9.32543659210205	9.220439910888672	9.168493270874023	9.24272632598877	9.25726318359375	8.91530704498291	9.198613166809082	9.07509994506836	9.379719734191895	9.102496147155762	9.145359992980957	9.21459674835205	9.204133033752441	9.15450668334961	9.184657096862793	8.878475189208984	8.85260009765625	9.022700309753418	9.437410354614258	9.270484924316406	9.055219650268555	8.948169708251953	9.134645462036133	9.103005409240723	9.05331039428711	9.05305290222168	8.719523429870605	8.858746528625488	9.121152877807617	8.777767181396484	8.633707046508789	8.656669616699219	9.47445297241211	9.399089813232422	9.096460342407227	8.9131498336792	8.692480087280273	8.757390022277832	9.394760131835938	9.049030303955078	9.039810180664062	8.82116985321045	8.953709602355957	8.81743049621582	8.694890022277832	8.677225112915039	8.638725280761719	8.889679908752441	8.854654312133789	8.712915420532227	8.55667495727539	8.728989601135254	9.0246000289917	8.930560111999512	8.828169822692871	8.758319854736328	8.574270248413086	9.083250045776367
aat	9.084075927734375	8.93414306640625	9.01181697845459	9.014307022094727	9.022483825683594	8.952699661254883	8.894577026367188	8.737336158752441	8.975132942199707	8.831716537475586	8.744166374206543	8.751039505004883	8.406996726989746	8.58080005645752	8.402066230773926	8.785786628723145	8.306922912597656	8.263603210449219	8.638989448547363	8.336776733398438	8.153759956359863	8.29955005645752	8.316110610961914	8.153596878051758	8.256403923034668	8.098176956176758	8.42822551727295	8.234517097473145	8.263176918029785	8.16051959991455	8.23110294342041	8.141583442687988	8.327993392944336	8.351759910583496	8.346349716186523	8.29304313659668	8.515107154846191	8.464436531066895	8.54872989654541	8.307633399963379	8.239970207214355	8.111959457397461	8.277910232543945	8.17703628540039	8.250293731689453	8.339139938354492	8.46755313873291	8.32759952545166	8.505629539489746	8.665414810180664	8.409440040588379	8.100133895874023	8.260979652404785	8.404836654663086	8.451379776000977	8.38241958618164	8.27609634399414	8.749165534973145	8.551139831542969	8.290980339050293	8.332719802856445	8.660699844360352	8.560830116271973	8.43384075164795	8.52924919128418	8.721990585327148	8.878990173339844	8.783263206481934	8.8087797164917	8.541460037231445	8.653793334960938	8.396286964416504	8.519359588623047	8.442139625549316	8.349386215209961	8.680439949035645	8.671919822692871	8.722869873046875	8.807999610900879	8.921850204467773	8.763070106506348	8.699999809265137	8.60634994506836	9.11279010772705	8.971199989318848	8.486345291137695	8.512185096740723	8.409295082092285	8.35681438446045	8.38148021697998	8.553810119628906	8.472354888916016	8.32522964477539	8.407210350036621	8.28501033782959	8.541509628295898	8.609270095825195	8.518630027770996	8.653429985046387	8.635899543762207
abgA	8.027933120727539	8.083526611328125	8.126836776733398	8.034317016601562	8.146403312683105	7.9674201011657715	8.076933860778809	7.870820045471191	8.045332908630371	8.204456329345703	8.049576759338379	8.113296508789062	7.340653419494629	7.681473255157471	7.53468656539917	7.9293999671936035	7.3021769523620605	7.312346458435059	7.060540199279785	7.187243461608887	7.2724199295043945	7.372476577758789	7.6396002769470215	7.0884833335876465	7.205039978027344	7.206243515014648	7.5709452629089355	7.0821533203125	7.250140190124512	6.925869941711426	7.242799758911133	7.444079875946045	7.142699718475342	7.422226905822754	7.278156757354736	7.299556732177734	7.413529872894287	7.740936756134033	7.72298526763916	7.361286640167236	7.129676342010498	6.832423210144043	7.360203266143799	7.321730136871338	7.120009899139404	7.473296642303467	7.446236610412598	7.130396842956543	7.641903400421143	7.613615036010742	7.513946533203125	6.681149959564209	6.915760040283203	7.331746578216553	7.424950122833252	7.418829917907715	7.340456485748291	6.288145065307617	6.336054801940918	6.354680061340332	7.213280200958252	7.794155120849609	8.254609107971191	8.421019554138184	8.53056526184082	7.409629821777344	7.122694969177246	8.18498706817627	8.468647003173828	8.493406295776367	7.9413065910339355	8.346736907958984	8.557709693908691	8.487663269042969	7.9245500564575195	8.078289985656738	8.06212043762207	8.107069969177246	8.258529663085938	8.077679634094238	8.131750106811523	8.202690124511719	8.451399803161621	8.309289932250977	8.315999984741211	8.011834144592285	7.922689914703369	8.032549858093262	7.986459732055664	7.947690010070801	7.868925094604492	8.037220001220703	8.041715621948242	8.479729652404785	8.698089599609375	8.135089874267578	8.0939302444458	8.052929878234863	7.934460163116455	8.160880088806152
abgB	7.382269859313965	7.497926712036133	7.573760032653809	7.312709808349609	7.441166877746582	7.3541131019592285	7.458499908447266	7.155379772186279	7.468999862670898	7.502753257751465	7.530159950256348	7.53499698638916	6.591593265533447	7.028910160064697	6.929866790771484	7.438199996948242	6.617063522338867	6.7194366455078125	6.377803325653076	6.541086673736572	6.668740272521973	6.774883270263672	6.974593162536621	6.527853488922119	6.66899299621582	6.712646484375	7.115994930267334	6.51279354095459	6.714379787445068	6.22514009475708	6.670376777648926	6.703673362731934	6.4843268394470215	6.944153308868408	6.691636562347412	6.715849876403809	6.932236671447754	7.2462968826293945	7.228534698486328	6.892266750335693	6.5307135581970215	6.162963390350342	6.623420238494873	6.674283027648926	6.416373252868652	6.876133441925049	6.823556900024414	6.513866901397705	7.120846748352051	7.136204719543457	6.958463668823242	6.1840434074401855	6.356963157653809	6.6876068115234375	6.851373195648193	6.795296669006348	6.699306488037109	5.647449970245361	5.6229047775268555	5.740329742431641	6.391860008239746	7.238155364990234	7.700629711151123	7.849849700927734	7.997280120849609	6.756004810333252	6.308335304260254	7.594633102416992	7.9132399559021	7.869643211364746	7.540073394775391	7.777820110321045	7.845600128173828	7.799586772918701	7.5657830238342285	7.559299945831299	7.638609886169434	7.64394998550415	7.762929916381836	7.532040119171143	7.607639789581299	7.613890171051025	7.8407301902771	7.840390205383301	7.902500152587891	7.576435089111328	7.578564643859863	7.659270286560059	7.5624003410339355	7.633490085601807	7.5069804191589355	7.650379657745361	7.6717400550842285	7.867915153503418	8.16277027130127	7.714360237121582	7.737880229949951	7.712029933929443	7.6605401039123535	7.635069847106934
abgR	7.174233436584473	7.301720142364502	7.366039752960205	7.171736717224121	7.397286415100098	7.119043350219727	7.229896545410156	7.000880241394043	7.211299896240234	7.367886543273926	7.3045735359191895	7.318670272827148	6.400803565979004	6.770436763763428	6.6454267501831055	7.146093368530273	6.221216678619385	6.359879970550537	6.0587334632873535	6.347833156585693	6.2520432472229	6.411126613616943	6.720089912414551	6.12939977645874	6.286900043487549	6.278493404388428	6.740880012512207	6.073976516723633	6.410696506500244	5.990350246429443	6.313066482543945	6.445396900177002	6.231216907501221	6.52908992767334	6.281793117523193	6.5157365798950195	6.578006744384766	6.976943492889404	6.869295120239258	6.339839935302734	6.098926544189453	5.699120044708252	6.393616676330566	6.410616874694824	6.11841344833374	6.636676788330078	6.57741641998291	6.216090202331543	6.8722968101501465	6.793749809265137	6.556966781616211	5.727809906005859	5.846923351287842	6.387493133544922	6.487563610076904	6.530073165893555	6.429086685180664	5.524694919586182	5.572674751281738	5.535924911499023	6.201699733734131	6.990419864654541	7.380110263824463	7.503864765167236	7.575244903564453	6.529484748840332	6.099005222320557	7.341879844665527	7.47052001953125	7.356456756591797	7.172550201416016	7.262313365936279	7.4001665115356445	7.350556373596191	7.199016571044922	7.703330039978027	7.702899932861328	7.539050102233887	7.551050186157227	7.5675201416015625	7.663320064544678	7.509530067443848	7.758600234985352	7.533720016479492	7.490240097045898	7.505255222320557	7.320040225982666	7.513790130615234	7.57921028137207	7.585169792175293	7.479899883270264	7.273740291595459	7.3834452629089355	7.578784942626953	7.542669773101807	7.635950088500977	7.6717000007629395	7.6625800132751465	7.539820194244385	7.658510208129883
abgT	6.358233451843262	6.477206707000732	6.616576671600342	6.570799827575684	6.571416854858398	6.427989959716797	6.5497565269470215	6.2449798583984375	6.451516628265381	6.481363296508789	6.432810306549072	6.526740074157715	5.785233497619629	6.299713611602783	5.966720104217529	6.496906757354736	5.6479668617248535	5.715173244476318	5.496633052825928	5.626936912536621	5.657403469085693	5.769976615905762	5.883073329925537	5.64694356918335	5.614536762237549	5.661266803741455	6.065099716186523	5.550149917602539	5.743869781494141	5.25589656829834	5.670406818389893	5.824223518371582	5.653079986572266	5.83363676071167	5.7784199714660645	5.787273406982422	5.952896595001221	6.2495198249816895	6.209150314331055	5.814323425292969	5.634993553161621	5.241066932678223	5.7497968673706055	5.746729850769043	5.600606441497803	5.825300216674805	5.943263530731201	5.664806842803955	6.0703301429748535	6.010944843292236	6.003200054168701	5.251520156860352	5.392253398895264	5.676626682281494	5.868410110473633	5.846553325653076	5.730316638946533	5.022884845733643	5.056304931640625	5.058314800262451	5.786700248718262	6.220524787902832	6.578190326690674	6.542799949645996	6.708940029144287	5.888880252838135	5.850529670715332	6.478903293609619	6.805580139160156	6.7928032875061035	6.366756916046143	6.555443286895752	6.678473472595215	6.5937700271606445	6.453390121459961	6.873040199279785	6.622719764709473	6.7671098709106445	6.747250080108643	6.513229846954346	6.837930202484131	6.812230110168457	6.808340072631836	6.803009986877441	6.875120162963867	6.585155010223389	6.455705165863037	6.6108245849609375	6.627749919891357	6.664060115814209	6.487005233764648	6.637969970703125	6.655405044555664	6.672919750213623	6.938379764556885	6.792419910430908	6.743879795074463	6.78810977935791	6.567669868469238	6.580389976501465
